City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
hechingen,48.35,8.96,287.59,17,66,1.18,DE,1588986961
sisimiut,66.94,-53.67,275.92,73,100,1.06,GL,1588986961
sterling,39.01,-77.43,282.04,87,90,4.1,US,1588986959
shirokiy,49.76,129.52,289.26,45,100,3.37,RU,1588986962
stafford,52.81,-2.12,284.26,89,0,0.89,GB,1588986735
cape town,-33.93,18.42,287.15,93,93,0.5,ZA,1588986829
sept-iles,50.2,-66.38,279.15,85,40,2.6,CA,1588986686
bredasdorp,-34.53,20.04,289.15,87,87,1.5,ZA,1588986726
pokhara,28.23,83.98,293.99,40,0,1.63,NP,1588986964
dunedin,-45.87,170.5,289.26,57,9,6.26,NZ,1588986895
todos santos,23.45,-110.22,292.59,80,0,2.24,MX,1588986966
sesvete,45.83,16.12,287.59,71,100,2.6,HR,1588986967
laguna,38.42,-121.42,309.15,11,1,2.1,US,1588986967
shubarshi,48.59,57.19,286.95,61,0,3.55,KZ,1588986968
pangody,65.85,74.49,277.19,97,100,4.1,RU,1588986831
vao,-22.67,167.48,295.81,75,1,9.3,NC,1588986969
beroroha,-21.67,45.17,292.15,77,0,1.35,MG,1588986969
qaanaaq,77.48,-69.36,260.04,80,0,3.11,GL,1588986812
yellowknife,62.46,-114.35,277.15,60,75,7.2,CA,1588986602
hilo,19.73,-155.09,302.15,51,20,5.7,US,1588986970
hermanus,-34.42,19.23,288.71,79,100,4.2,ZA,1588986971
rikitea,-23.12,-134.97,297.63,69,90,2.63,PF,1588986971
bethel,41.37,-73.41,279.26,87,90,1.5,US,1588986804
panlaitan,12.12,119.85,303.46,66,29,1.07,PH,1588986972
punta arenas,-53.15,-70.92,278.15,86,100,3.1,CL,1588986699
inirida,3.87,-67.92,296.86,94,100,0.91,CO,1588986974
mataura,-46.19,168.86,288.61,62,0,1.55,NZ,1588986974
baghdad,33.34,44.4,299.15,39,0,2.6,IQ,1588986973
saint george,37.1,-113.58,305.15,6,1,3.1,US,1588986953
